mcc,mnc,lac,cellid,radio,lat,lon,range,samples
310,410,5012,100000,LTE,37.724468,-122.488561,1000,191
310,120,2424,100001,NR,38.234756,-122.024831,5000,11
310,120,1434,100002,NR,38.016461,-122.367101,1000,186
310,260,8359,100003,NR,37.516487,-122.825265,2000,4
310,410,6574,100004,LTE,37.786318,-122.65497,1000,58
310,260,7224,100005,LTE,38.080592,-122.515652,2000,91
310,120,8527,100006,NR,37.270066,-122.85958,500,99
310,120,6925,100007,NR,38.031451,-122.261078,1000,183
310,410,2307,100008,LTE,38.241493,-122.17029,500,100
310,410,3664,100009,LTE,37.687929,-121.859725,2000,56
310,120,2169,100010,NR,37.513117,-122.965028,1000,139
310,410,5422,100011,NR,37.747559,-122.656287,1000,178
310,260,4752,100012,LTE,37.505563,-121.808491,2000,105
310,120,6155,100013,LTE,37.748097,-122.145737,5000,104
310,260,5339,100014,LTE,38.15098,-122.799848,1000,193
310,120,8019,100015,NR,37.521688,-122.536863,5000,95
310,120,9085,100016,LTE,38.007297,-121.058673,500,31
310,120,7916,100017,NR,37.893372,-122.22587,500,101
310,120,5119,100018,NR,36.916609,-121.516873,500,177
310,120,5371,100019,GSM,37.678024,-123.014443,2000,31
310,260,5315,100020,NR,37.719463,-122.193396,1000,132
310,410,9317,100021,NR,38.378607,-122.84144,1000,42
310,120,1009,100022,NR,37.62899,-122.250354,2000,128
310,410,4923,100023,LTE,38.574101,-122.307064,1000,148
310,410,2133,100024,GSM,37.914865,-122.474785,1000,35
310,260,5342,100025,NR,37.319438,-123.23679,5000,57
310,120,4295,100026,UMTS,38.304536,-122.709295,2000,105
310,410,9479,100027,LTE,38.281736,-122.437059,500,66
310,120,4770,100028,NR,37.825235,-122.060612,1000,4
310,260,2104,100029,LTE,38.220826,-122.175691,2000,21
310,410,4510,100030,NR,37.493235,-122.448108,1000,188
310,410,4981,100031,NR,38.193406,-122.624543,5000,51
310,410,7939,100032,LTE,38.200739,-122.091662,5000,189
310,120,2612,100033,LTE,38.255215,-122.224996,5000,189
310,260,4139,100034,LTE,37.404457,-121.745779,5000,38
310,260,2235,100035,LTE,37.525467,-122.267044,500,15
310,260,2528,100036,GSM,37.523094,-122.826932,1000,45
310,410,1960,100037,LTE,37.441197,-122.165142,5000,3
310,410,5673,100038,LTE,38.048502,-122.448346,5000,42
310,260,9883,100039,LTE,37.865332,-122.158854,2000,17
